discontinued_date,update_type,initial_posting_date,generic_name,update_date,therapeutic_category,dosage_form,company_name,status,availability,shortage_reason,brand_name,route,year,duration_days
2025-08-01,New,2025-08-01,Clindamycin Phosphate; Benzoyl Peroxide Gel,2025-08-01,Dermatology,Gel,"Teva Pharmaceuticals USA, Inc.",To Be Discontinued,To Be Discontinued,Not Applicable,CLINDAMYCIN PHOSPHATE AND BENZOYL PEROXIDE,TOPICAL,2025,0
,Reverified,2023-07-14,Lisdexamfetamine Dimesylate Capsule,2025-12-15,Psychiatry,Capsule,Rhodes Pharmaceuticals L.P.,Current,Available, Available,LISDEXAMFETAMINE DIMESYLATE,ORAL,2023,885
,Reverified,2018-02-20,Bupivacaine Hydrochloride Injection,2025-08-19,Anesthesia,Injection,Kindos Pharmaceuticals Co. Ltd.,Current,Available, Available,BUPIVACAINE HYDROCHLORIDE,"EPIDURAL, INFILTRATION, INTRACAUDAL, PERINEURAL",2018,2737
2025-07-10,New,2025-07-10,Levothyroxine Sodium Tablet,2025-07-10,Endocrinology/Metabolism,Tablet,"EMD Serono, Inc.",To Be Discontinued,To Be Discontinued,Not Applicable,EUTHYROX,ORAL,2025,0
,Reverified,2016-02-03,Sodium Acetate Injection,2026-03-05,Endocrinology/Metabolism,Injection,Milla Pharmaceuticals,Current,Available, Available,SODIUM ACETATE,INTRAVENOUS,2016,3683
2025-07-10,New,2025-07-10,Levothyroxine Sodium Tablet,2025-07-10,Endocrinology/Metabolism,Tablet,"EMD Serono, Inc.",To Be Discontinued,To Be Discontinued,Not Applicable,EUTHYROX,ORAL,2025,0
,Revised,2019-02-08,Dexamethasone Sodium Phosphate Injection,2026-03-12,Dermatology,Injection,"Hikma Pharmaceuticals USA, Inc.",Current,Unavailable,Demand increase for the drug,DEXAMETHASONE SODIUM PHOSPHATE,"INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE",2019,2589
,Reverified,2023-07-14,Lisdexamfetamine Dimesylate Capsule,2026-03-12,Psychiatry,Capsule,"Hikma Pharmaceuticals USA, Inc.",Current,Limited Availability,Shortage of an active ingredient,LISDEXAMFETAMINE DIMESYLATE,ORAL,2023,972
,Reverified,2018-02-20,Bupivacaine Hydrochloride Injection,2026-02-25,Anesthesia,Injection,"Fresenius Kabi USA, LLC",Current,Available, Available,SENSORCAINE MPF,"EPIDURAL, RETROBULBAR",2018,2927
,Reverified,2012-02-22,Lidocaine Hydrochloride Injection,2026-03-03,Anesthesia,Injection,"Amphastar Pharmaceuticals, Inc.",Current,Available, Available,LIDOCAINE HYDROCHLORIDE,INTRAVENOUS,2012,5123
,Revised,2017-03-01,Sodium Bicarbonate Injection,2026-03-13,Endocrinology/Metabolism,Injection,"Hospira, Inc., a Pfizer Company",Current,Unavailable,Other,SODIUM BICARBONATE,INTRAVENOUS,2017,3299
,Revised,2012-02-22,Lidocaine Hydrochloride Injection,2026-03-13,Anesthesia,Injection,"Hospira, Inc., a Pfizer Company",Current,Available, Available,LIDOCAINE HYDROCHLORIDE,"INFILTRATION, PERINEURAL",2012,5133
,Reverified,2020-04-10,Dexmedetomidine Hydrochloride Injection,2026-03-13,Anesthesia,Injection,Pfizer Inc.,Current,Available, Available,PRECEDEX,INTRAVENOUS,2020,2163
,Reverified,2023-07-14,Lisdexamfetamine Dimesylate Capsule,2026-02-09,Psychiatry,Capsule,Amneal Pharmaceuticals,Current,Unavailable,Shortage of an active ingredient,LISDEXAMFETAMINE DIMESYLATE,ORAL,2023,941
2025-07-23,New,2025-07-23,Amantadine Hydrochloride Capsule,2025-07-23,Antiviral,Capsule,"Upsher-Smith Laboratories, LLC",To Be Discontinued,To Be Discontinued,Not Applicable,AMANTADINE HYDROCHLORIDE,ORAL,2025,0
,Revised,2018-02-20,Lidocaine Hydrochloride Injection,2026-03-06,Anesthesia,Injection,Eugia US LLC,Current,Unavailable,Unavailable,LIDOCAINE HYDROCHLORIDE,"EPIDURAL, INFILTRATION, INTRACAUDAL, PERINEURAL",2018,2936
2025-11-07,New,2025-11-07,Sodium Bicarbonate Injection,2025-11-07,Endocrinology/Metabolism,Injection,"Hospira, Inc., a Pfizer Company",To Be Discontinued,To Be Discontinued,Not Applicable,SODIUM BICARBONATE,INTRAVENOUS,2025,0
,Reverified,2023-07-14,Lisdexamfetamine Dimesylate Capsule,2026-03-03,Psychiatry,Capsule,Alvogen,Current,Available, Available,LISDEXAMFETAMINE DIMESYLATE,ORAL,2023,963
